date,type,open,delta_units,exec_notional,w_before,w_after,cash_after,equity_open_after_trade,equity_after,trade_date,price
2019-12-26,sell,53.79999923706055,-958.9379162270742,51590.859161405024,0.225,0.21250000000000002,3552537.4989890126,4126937.158460577,4132642.8763743187,2019-12-26,53.79999923706055
2019-12-31,sell,53.75,-839.6399688988382,45130.648328312556,0.21250000000000002,0.2015625,3597378.092640519,4125940.64962605,4127487.962529682,2019-12-31,53.75
2020-03-02,buy,45.65999984741211,26185.957492915284,1195650.815130852,0.2015625,0.5000000000000909,2401216.734611606,4005858.6805758243,4104131.4994011787,2020-03-02,45.65999984741211
2020-03-03,buy,47.900001525878906,25704.371828774838,1231239.4498200736,0.5000000000000909,0.8000000000000227,1169451.5455464595,4103605.7601561053,4081671.383780483,2020-03-03,47.900001525878906
2020-03-04,buy,47.58000183105469,8578.54398213995,408167.138378002,0.8000000000000227,0.9000000000000113,761110.1198003701,4081497.0964123956,4158703.9922516653,2020-03-04,47.58000183105469
2020-03-05,buy,48.58000183105469,4280.263313609792,207935.1996125599,0.9000000000000113,0.9500000000000057,553086.1318575757,4158615.2039214307,4137470.5294232466,2020-03-05,48.58000183105469
2020-03-06,buy,48.31999969482422,2140.6615043221723,103436.76323556932,0.9500000000000057,0.9750000000000029,449605.2011241048,4137426.361925345,3923702.602683497,2020-03-06,48.31999969482422
2020-03-09,buy,45.7599983215332,1071.8156541202986,49046.28253353788,0.9750000000000029,0.9875000000000014,400537.9758279251,3923681.6599208554,3756875.2093124916,2020-03-09,45.7599983215332
2020-03-12,buy,42.83000183105469,938.6342219023508,40201.705442768274,0.9875000000000014,0.9984375000000002,360319.10425693274,3675567.3314966992,2955822.47939865,2020-03-12,42.83000183105469
2020-08-28,sell,64.80000305175781,-25598.281411232605,1658768.713567628,0.9984375000000002,0.7,2008426.9113024615,5547516.981872043,5586543.942875447,2020-08-28,64.80000305175781
2020-08-31,sell,65.44999694824219,-25606.772513495824,1675963.1828626336,0.7,0.4,3673618.678788837,5575772.527499189,5514316.429758135,2020-08-31,65.44999694824219
2020-09-01,sell,63.650001525878906,-8663.497718089002,551431.6429758134,0.4,0.30000000000000004,4221506.270595245,5510772.37858873,5552357.127977212,2020-09-01,63.650001525878906
2020-09-02,sell,65.25,-4254.6797915534235,277617.85639886087,0.30000000000000004,0.25,4497339.87703103,5550572.878014136,5551636.612883287,2020-09-02,65.25
2020-09-03,sell,65.30000305175781,-2125.435051083754,138790.91532208215,0.25,0.225,4635238.783140337,5550744.603670511,5513443.130958766,2020-09-03,65.30000305175781
2020-09-04,sell,63.34999847412109,-1087.893303819699,68918.03913698447,0.225,0.21250000000000002,4703713.886039788,5513000.194721232,5526870.834344933,2020-09-04,63.34999847412109
2020-09-09,sell,62.79999923706055,-958.4249515257343,60189.08622459591,0.21250000000000002,0.2015625,4763516.137007219,5502615.333848738,5525576.443854946,2020-09-09,62.79999923706055
2020-09-25,buy,61.0,26771.669406350582,1633071.8337873856,0.2015625,0.5000007629394532,3129746.981546806,5471361.849636053,5484817.719156105,2020-09-25,61.0
2020-09-28,buy,61.29999923706055,26842.450208615373,1645442.177308958,0.5000007629394532,0.8000001907348633,1483602.2004281373,5484115.1153463945,5623696.2105507655,2020-09-28,61.29999923706055
2020-09-29,buy,63.25,8891.210825891108,562369.0847376126,0.8000001907348633,0.9000000953674316,920992.9840913417,5623456.078951582,5607451.821455159,2020-09-29,63.25
2020-09-30,buy,63.04999923706055,4446.825171788695,280372.32368861884,0.9000000953674316,0.9500000476837158,640500.9414205079,5607332.102472944,5708719.882630148,2020-09-30,63.04999923706055
2020-10-05,buy,64.25,2221.2896647356483,142717.8609592654,0.9500000476837158,0.9750000238418579,497722.13993461285,5708658.942103518,5751974.132933642,2020-10-05,64.25
2020-10-06,buy,64.75,1110.418657803792,71899.60809279553,0.9750000238418579,0.987500011920929,425791.8307091617,5751943.431800986,5747557.006156911,2020-10-06,64.75
2020-10-12,buy,67.80000305175781,971.0592555041336,65837.82048661793,0.987500011920929,0.9984375014901161,359925.897473196,6019435.50092071,6037164.014885363,2020-10-12,67.80000305175781
2022-01-11,sell,146.85000610351562,-26466.781160709314,3886646.974990575,0.9984375014901161,0.7,4221593.392355506,12998340.161640229,13131809.958062235,2022-01-11,146.85000610351562
2022-01-12,sell,149.0,-26439.88582160181,3939542.9874186697,0.7,0.4,8135816.936994036,13106490.515282096,13113541.04391702,2022-01-12,149.0
2022-01-13,sell,149.1999969482422,-8789.236804385548,1311354.1043917018,0.4,0.30000000000000004,9438742.968556812,13105112.971088095,13147301.468684878,2022-01-13,149.1999969482422
2022-01-14,sell,150.8000030517578,-4359.184748879764,657365.0734342445,0.30000000000000004,0.25,10091883.156664098,13143076.583357917,13133268.484188817,2022-01-14,150.8000030517578
2022-01-17,sell,150.35000610351562,-2183.782499341335,328331.71210472035,0.25,0.225,10418104.68085512,13131158.29627512,13157691.073703984,2022-01-17,150.35000610351562
