date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2020-04-20,460401.63471508,47.08832836,460354.54638672,0.00000000
2020-04-21,432744.67982006,47.08832836,432697.59149170,0.00000000
2020-04-22,435755.72492504,47.08832836,435708.63659668,0.00000000
2020-04-23,442335.40662670,47.08832836,442288.31829834,0.00000000
2020-04-24,439770.45173168,47.08832836,439723.36340332,0.00000000
2020-04-27,463635.72492504,47.08832836,463588.63659668,0.00000000
2020-04-28,466423.72492504,47.08832836,466376.63659668,0.00000000
2020-04-29,479136.99811840,47.08832836,479089.90979004,0.00000000
2020-04-30,498429.95301342,47.08832836,498382.86468506,0.00000000
2020-05-04,470438.45173168,47.08832836,470391.36340332,0.00000000
2020-05-05,476683.58704662,47.08832836,476636.49871826,0.00000000
2020-05-06,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-07,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-08,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-11,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-12,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-13,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-14,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-15,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-18,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-19,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-20,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-21,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-22,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-25,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-26,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-27,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-28,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-05-29,477352.67982006,477352.67982006,0.00000000,0.00000000
2020-06-01,495967.77138042,1.59643078,495966.17494965,0.00000000
2020-06-02,500213.30473614,1.59643078,500211.70830536,0.00000000
2020-06-03,517195.43815899,1.59643078,517193.84172821,0.00000000
2020-06-04,524162.51304150,1.59643078,524160.91661072,0.00000000
2020-06-05,533959.88812542,1.59643078,533958.29169464,0.00000000
2020-06-08,543757.30473614,1.59643078,543755.70830536,0.00000000
2020-06-09,547023.09643078,1.59643078,547021.50000000,0.00000000
